Make,Variant,"Length 
(ft)",Geographic Region,Country/Region/State ,Listing Price (USD),Year,single
Fountaine Pajot,Alegria 67,66.6496,SAR,SAR,3613640,2023,0
Nautor Swan,Swan 60,61.8608,SAR,SAR,1304100,2014,0
Fountaine Pajot,Samana 59,61.5656,SAR,SAR,3190536,2023,0
Beneteau,First 53,56.3176,SAR,SAR,1141087,2023,1
X-Yachts,X-55,54.9728,SAR,SAR,380362,2014,1
Nautor Swan,54,53.9888,SAR,SAR,1770000,2019,0
Bali,4.6,53.8904,SAR,SAR,694433,2023,0
McConaghy,MC53 Catamaran,52.972,SAR,SAR,2716875,2022,0
Judel And Vrolijk,Tp52,51.988,SAR,SAR,299000,2006,1
Beneteau,Oceanis 51.1,49.1672,SAR,SAR,543375,2018,1
Beneteau,Oceanis 51.1,49.0032,SAR,SAR,804195,2023,1
Bali,4.8,48.9048,SAR,SAR,641182,2021,0
Wauquiez,Pilot Saloon 48,48.4128,SAR,SAR,1081548,2022,1
Beneteau,Oceanis 46.1,47.9208,SAR,SAR,557503,2016,1
Beneteau,First 44,46.412,SAR,SAR,652050,2023,1
Bali,4.4,45.92,SAR,SAR,631728,2023,0
Lagoon,450,45.7888,SAR,SAR,560000,2016,0
Lagoon,450,45.7888,SAR,SAR,685000,2017,0
Fountaine Pajot,Saona 47,45.7232,SAR,SAR,1160649,2020,0
Fountaine Pajot,Tanna 47,45.7232,SAR,SAR,1118056,2023,0
Beneteau,Sense 43,43.296,SAR,SAR,220000,2012,1
Beneteau,Oceanis 40.1,42.2464,SAR,SAR,456435,2015,1
M Boats,40,40.4096,SAR,SAR,141277,2011,1
Bali,CATSPACE,40.3112,SAR,SAR,440134,2023,0
Farr,40,40.016,SAR,SAR,74000,2000,1
McConaghy,AC40,39.9832,SAR,SAR,2800000,2021,1
Beneteau,First 36,39.2944,SAR,SAR,347760,2023,1
Lagoon,40,39.36,SAR,SAR,682479,2023,0
Beneteau,Oceanis 38,36.5064,SAR,SAR,165000,2014,1
J Boats,Oceanis 30.1,36.08,SAR,SAR,180000,2012,1
Beneteau,Oceanis 34.1,35.3256,SAR,SAR,255386,2022,0
Beneteau,Oceanis 30.1,31.2584,SAR,SAR,185834,2011,1
FarEast,31R Carbon Edition,31.16,SAR,SAR,140000,2021,1
FarEast,31R,31.16,SAR,SAR,75000,2021,1
Beneteau,First 27 SE,26.2072,SAR,SAR,114109,2023,1
Bavaria,38 Cruiser,38,SAR,SAR,96825,2009,1
Bavaria,38 Cruiser,38,SAR,SAR,154661,2008,1
Bavaria,42 Cruiser,42,SAR,SAR,112906,2007,1
Beneteau,First 50,49,SAR,SAR,540520,2006,1
Beneteau,First 50,49,SAR,SAR,240510,2005,0
Jeanneau,Sun Odyssey 42i,42,SAR,SAR,700398,2007,1
Jeanneau,Sun Odyssey  42 DS,42,SAR,SAR,169000,2005,0
Lagoon,440,44.6,SAR,SAR,639729,2006,0
Lagoon,440,44.6,SAR,SAR,309506,2005,0
